MaThuoc,TenThuoc,TenThuocKhongDau,DonVi,DonGia
T00237,Fluconazole 10 mg (Viên nén - Lot 177),Fluconazole 10 mg (Vien nen - Lot 177),Ống tiêm,462480
T00238,Pantoprazole 100 mg (Viên nén - Lot 237),Pantoprazole 100 mg (Vien nen - Lot 237),Viên nang,425480
T00239,Metformin 5 mg (Viên nén - Lot 596),Metformin 5 mg (Vien nen - Lot 596),Viên nang,337710
T00240,Aspirin 100 mg (Mekophar - Lot 986),Aspirin 100 mg (Mekophar - Lot 986),Ống tiêm,271490
T00241,Diclofenac 10 mg (Viên nén - Lot 159),Diclofenac 10 mg (Vien nen - Lot 159),Gói,272080
T00242,Atorvastatin 100 mg (Domesco - Lot 382),Atorvastatin 100 mg (Domesco - Lot 382),Viên nang,27510
T00243,Loratadine 10 mg (Mekophar - Lot 732),Loratadine 10 mg (Mekophar - Lot 732),Viên nén,216930
T00244,Metformin 500 mg (Mekophar - Lot 597),Metformin 500 mg (Mekophar - Lot 597),Ống tiêm,466590
T00245,Hạ Sốt 5 mg (Viên nén - Lot 450),Ha Sot 5 mg (Vien nen - Lot 450),Tuýp,436930
T00246,Prednisolone 5 mg (Stada - Lot 709),Prednisolone 5 mg (Stada - Lot 709),Gói,268430
T00247,Loratadine 5 mg (Mekophar - Lot 835),Loratadine 5 mg (Mekophar - Lot 835),Viên nang,159790
T00248,Losartan 5 ml (Mekophar - Lot 857),Losartan 5 ml (Mekophar - Lot 857),Ống tiêm,341040
T00249,Loratadine 5 ml (Stada - Lot 646),Loratadine 5 ml (Stada - Lot 646),Viên nén,280170
T00250,Diazepam 100 mg (Domesco - Lot 496),Diazepam 100 mg (Domesco - Lot 496),Chai,226950
T00251,Metformin 1000 IU (Domesco - Lot 952),Metformin 1000 IU (Domesco - Lot 952),Viên nang,44970
T00252,Furosemide 10 mg (Domesco - Lot 637),Furosemide 10 mg (Domesco - Lot 637),Hộp,306380
T00253,Captopril 100 mg (Stada - Lot 922),Captopril 100 mg (Stada - Lot 922),Gói,102850
T00254,Losartan 100 mg (Mekophar - Lot 648),Losartan 100 mg (Mekophar - Lot 648),Viên nén,183680
T00255,Atorvastatin 5 mg (Domesco - Lot 553),Atorvastatin 5 mg (Domesco - Lot 553),Chai,41500
T00256,Chống Viêm 500 mg (Mekophar - Lot 345),Chong Viem 500 mg (Mekophar - Lot 345),Viên nang,318960
T00257,Aspirin 100 mg (Viên nén - Lot 768),Aspirin 100 mg (Vien nen - Lot 768),Hộp,406820
T00258,Hạ Sốt 250 mg (Domesco - Lot 501),Ha Sot 250 mg (Domesco - Lot 501),Ống tiêm,252150
T00259,Prednisolone 5 ml (Domesco - Lot 691),Prednisolone 5 ml (Domesco - Lot 691),Viên nén,30060
T00260,Fluconazole 500 mg (Viên nén - Lot 748),Fluconazole 500 mg (Vien nen - Lot 748),Viên nang,350450
T00261,Doxycycline 100 mg (Domesco - Lot 507),Doxycycline 100 mg (Domesco - Lot 507),Ống tiêm,423060
T00262,Loratadine 5 mg (Domesco - Lot 355),Loratadine 5 mg (Domesco - Lot 355),Gói,75760
T00263,Amoxicillin 250 mg (Stada - Lot 781),Amoxicillin 250 mg (Stada - Lot 781),Chai,151620
T00264,Amoxicillin 5 mg (Stada - Lot 122),Amoxicillin 5 mg (Stada - Lot 122),Viên nén,157060
T00265,Loratadine 250 mg (Domesco - Lot 463),Loratadine 250 mg (Domesco - Lot 463),Hộp,441580
T00266,Metformin 100 mg (Mekophar - Lot 890),Metformin 100 mg (Mekophar - Lot 890),Tuýp,314960
T00267,Captopril 500 mg (Domesco - Lot 200),Captopril 500 mg (Domesco - Lot 200),Gói,313120
T00268,Amoxicillin 5 mg (Domesco - Lot 446),Amoxicillin 5 mg (Domesco - Lot 446),Ống tiêm,264290
T00269,Pantoprazole 500 mg (Stada - Lot 479),Pantoprazole 500 mg (Stada - Lot 479),Viên nang,411970
T00270,Captopril 250 mg (Mekophar - Lot 247),Captopril 250 mg (Mekophar - Lot 247),Chai,68300
T00271,Vitamin C 250 mg (Stada - Lot 319),Vitamin C 250 mg (Stada - Lot 319),Tuýp,56020
T00272,Pantoprazole 5 ml (Viên nén - Lot 481),Pantoprazole 5 ml (Vien nen - Lot 481),Ống tiêm,314290
T00273,Chống Viêm 250 mg (Stada - Lot 507),Chong Viem 250 mg (Stada - Lot 507),Chai,39330
T00274,Metformin 10 mg (Mekophar - Lot 637),Metformin 10 mg (Mekophar - Lot 637),Tuýp,305810
T00275,Doxycycline 10 mg (Mekophar - Lot 549),Doxycycline 10 mg (Mekophar - Lot 549),Hộp,68900
T00276,Loratadine 100 mg (Stada - Lot 319),Loratadine 100 mg (Stada - Lot 319),Viên nang,338050
T00277,Captopril 5 mg (Domesco - Lot 747),Captopril 5 mg (Domesco - Lot 747),Gói,491030
T00278,Doxycycline 5 ml (Viên nén - Lot 898),Doxycycline 5 ml (Vien nen - Lot 898),Viên nang,226610
T00279,Chống Viêm 250 mg (Stada - Lot 110),Chong Viem 250 mg (Stada - Lot 110),Viên nang,226700
T00280,Paracetamol 5 mg (Domesco - Lot 216),Paracetamol 5 mg (Domesco - Lot 216),Viên nang,322820
T00281,Loratadine 100 mg (Viên nén - Lot 447),Loratadine 100 mg (Vien nen - Lot 447),Ống tiêm,68510
T00282,Omeprazole 250 mg (Stada - Lot 127),Omeprazole 250 mg (Stada - Lot 127),Ống tiêm,343590
T00283,Diclofenac 1000 IU (Mekophar - Lot 468),Diclofenac 1000 IU (Mekophar - Lot 468),Chai,318080
T00284,Vitamin C 100 mg (Domesco - Lot 130),Vitamin C 100 mg (Domesco - Lot 130),Viên nén,219580
T00285,Losartan 1000 IU (Mekophar - Lot 798),Losartan 1000 IU (Mekophar - Lot 798),Viên nang,452950
T00286,Diazepam 10 mg (Mekophar - Lot 387),Diazepam 10 mg (Mekophar - Lot 387),Hộp,187290
T00287,Doxycycline 250 mg (Domesco - Lot 252),Doxycycline 250 mg (Domesco - Lot 252),Hộp,302000
T00288,Diazepam 250 mg (Viên nén - Lot 830),Diazepam 250 mg (Vien nen - Lot 830),Ống tiêm,282660
T00289,Ibuprofen 500 mg (Stada - Lot 644),Ibuprofen 500 mg (Stada - Lot 644),Gói,455870
T00290,Omeprazole 500 mg (Stada - Lot 232),Omeprazole 500 mg (Stada - Lot 232),Gói,338370
T00291,Pantoprazole 500 mg (Domesco - Lot 139),Pantoprazole 500 mg (Domesco - Lot 139),Hộp,153700
T00292,Furosemide 1000 IU (Domesco - Lot 652),Furosemide 1000 IU (Domesco - Lot 652),Viên nang,374120
T00293,Chống Viêm 500 mg (Mekophar - Lot 152),Chong Viem 500 mg (Mekophar - Lot 152),Viên nén,461220
T00294,Levothyroxine 100 mg (Stada - Lot 299),Levothyroxine 100 mg (Stada - Lot 299),Viên nén,100750
T00295,Atorvastatin 5 mg (Domesco - Lot 357),Atorvastatin 5 mg (Domesco - Lot 357),Gói,243340
T00296,Captopril 100 mg (Stada - Lot 375),Captopril 100 mg (Stada - Lot 375),Viên nén,267970
T00297,Cefuroxim 5 ml (Viên nén - Lot 291),Cefuroxim 5 ml (Vien nen - Lot 291),Hộp,147850
T00298,Levothyroxine 5 ml (Stada - Lot 216),Levothyroxine 5 ml (Stada - Lot 216),Viên nang,305870
T00299,Furosemide 100 mg (Mekophar - Lot 792),Furosemide 100 mg (Mekophar - Lot 792),Ống tiêm,480300
T00300,Cefuroxim 500 mg (Viên nén - Lot 781),Cefuroxim 500 mg (Vien nen - Lot 781),Gói,30150
T00301,Paracetamol 100 mg (Mekophar - Lot 913),Paracetamol 100 mg (Mekophar - Lot 913),Chai,232170
T00302,Chống Viêm 5 mg (Viên nén - Lot 874),Chong Viem 5 mg (Vien nen - Lot 874),Chai,150410
T00303,Aspirin 5 mg (Domesco - Lot 380),Aspirin 5 mg (Domesco - Lot 380),Hộp,159750
T00304,Giảm Đau 250 mg (Stada - Lot 731),Giam Dau 250 mg (Stada - Lot 731),Chai,401040
T00305,Doxycycline 5 mg (Stada - Lot 176),Doxycycline 5 mg (Stada - Lot 176),Tuýp,301510
T00306,Amoxicillin 250 mg (Domesco - Lot 657),Amoxicillin 250 mg (Domesco - Lot 657),Tuýp,392810
T00307,Furosemide 500 mg (Domesco - Lot 918),Furosemide 500 mg (Domesco - Lot 918),Ống tiêm,224160
T00308,Ibuprofen 100 mg (Mekophar - Lot 699),Ibuprofen 100 mg (Mekophar - Lot 699),Viên nang,210690
T00309,Loratadine 500 mg (Stada - Lot 949),Loratadine 500 mg (Stada - Lot 949),Viên nén,75100
T00310,Diazepam 250 mg (Domesco - Lot 626),Diazepam 250 mg (Domesco - Lot 626),Gói,328430
T00311,Furosemide 250 mg (Domesco - Lot 194),Furosemide 250 mg (Domesco - Lot 194),Hộp,254510
T00312,Amoxicillin 10 mg (Mekophar - Lot 854),Amoxicillin 10 mg (Mekophar - Lot 854),Chai,177830
T00313,Prednisolone 1000 IU (Viên nén - Lot 425),Prednisolone 1000 IU (Vien nen - Lot 425),Gói,373990
T00314,Vitamin C 5 mg (Domesco - Lot 833),Vitamin C 5 mg (Domesco - Lot 833),Hộp,446570
T00315,Ibuprofen 10 mg (Stada - Lot 244),Ibuprofen 10 mg (Stada - Lot 244),Hộp,176500
T00316,Furosemide 500 mg (Mekophar - Lot 593),Furosemide 500 mg (Mekophar - Lot 593),Viên nén,466330
T00317,Omeprazole 1000 IU (Mekophar - Lot 366),Omeprazole 1000 IU (Mekophar - Lot 366),Viên nén,464090
T00318,Doxycycline 5 ml (Viên nén - Lot 487),Doxycycline 5 ml (Vien nen - Lot 487),Chai,482260
T00319,Vitamin C 5 ml (Viên nén - Lot 389),Vitamin C 5 ml (Vien nen - Lot 389),Chai,424260
T00320,Cefuroxim 250 mg (Mekophar - Lot 338),Cefuroxim 250 mg (Mekophar - Lot 338),Gói,249580
T00321,Aspirin 10 mg (Mekophar - Lot 612),Aspirin 10 mg (Mekophar - Lot 612),Hộp,223570
T00322,Captopril 5 mg (Viên nén - Lot 336),Captopril 5 mg (Vien nen - Lot 336),Hộp,65220
T00323,Giảm Đau 250 mg (Mekophar - Lot 182),Giam Dau 250 mg (Mekophar - Lot 182),Viên nén,76350
T00324,Fluconazole 5 mg (Mekophar - Lot 756),Fluconazole 5 mg (Mekophar - Lot 756),Viên nang,431900
T00325,Ibuprofen 10 mg (Domesco - Lot 523),Ibuprofen 10 mg (Domesco - Lot 523),Viên nén,385840
T00326,Paracetamol 500 mg (Viên nén - Lot 918),Paracetamol 500 mg (Vien nen - Lot 918),Viên nang,284470
T00327,Loratadine 100 mg (Mekophar - Lot 692),Loratadine 100 mg (Mekophar - Lot 692),Tuýp,181360
T00328,Amoxicillin 5 mg (Domesco - Lot 297),Amoxicillin 5 mg (Domesco - Lot 297),Hộp,217590
T00329,Hạ Sốt 100 mg (Domesco - Lot 326),Ha Sot 100 mg (Domesco - Lot 326),Viên nang,439460
T00330,Omeprazole 5 ml (Viên nén - Lot 609),Omeprazole 5 ml (Vien nen - Lot 609),Ống tiêm,116220
T00331,Losartan 500 mg (Mekophar - Lot 548),Losartan 500 mg (Mekophar - Lot 548),Chai,91160
T00332,Chống Viêm 1000 IU (Domesco - Lot 225),Chong Viem 1000 IU (Domesco - Lot 225),Chai,336490
T00333,Diclofenac 1000 IU (Domesco - Lot 714),Diclofenac 1000 IU (Domesco - Lot 714),Viên nén,59550
T00334,Hạ Sốt 250 mg (Viên nén - Lot 441),Ha Sot 250 mg (Vien nen - Lot 441),Gói,131560
T00335,Paracetamol 10 mg (Viên nén - Lot 638),Paracetamol 10 mg (Vien nen - Lot 638),Tuýp,136300
T00336,Loratadine 1000 IU (Stada - Lot 390),Loratadine 1000 IU (Stada - Lot 390),Ống tiêm,329820
T00337,Pantoprazole 1000 IU (Domesco - Lot 631),Pantoprazole 1000 IU (Domesco - Lot 631),Chai,359660
T00338,Atorvastatin 5 ml (Stada - Lot 489),Atorvastatin 5 ml (Stada - Lot 489),Viên nén,251010
T00339,Levothyroxine 100 mg (Viên nén - Lot 477),Levothyroxine 100 mg (Vien nen - Lot 477),Ống tiêm,38590
T00340,Fluconazole 1000 IU (Domesco - Lot 153),Fluconazole 1000 IU (Domesco - Lot 153),Chai,77880
T00341,Doxycycline 5 mg (Viên nén - Lot 338),Doxycycline 5 mg (Vien nen - Lot 338),Chai,260080
T00342,Fluconazole 250 mg (Stada - Lot 862),Fluconazole 250 mg (Stada - Lot 862),Viên nén,288920
T00343,Furosemide 1000 IU (Mekophar - Lot 423),Furosemide 1000 IU (Mekophar - Lot 423),Hộp,443110
T00344,Giảm Đau 1000 IU (Stada - Lot 900),Giam Dau 1000 IU (Stada - Lot 900),Tuýp,110190
T00345,Furosemide 250 mg (Domesco - Lot 729),Furosemide 250 mg (Domesco - Lot 729),Hộp,18980
T00346,Cefuroxim 100 mg (Domesco - Lot 961),Cefuroxim 100 mg (Domesco - Lot 961),Chai,97240
T00347,Ibuprofen 100 mg (Viên nén - Lot 318),Ibuprofen 100 mg (Vien nen - Lot 318),Chai,207760
T00348,Vitamin C 10 mg (Stada - Lot 403),Vitamin C 10 mg (Stada - Lot 403),Tuýp,141290
T00349,Ibuprofen 100 mg (Stada - Lot 406),Ibuprofen 100 mg (Stada - Lot 406),Gói,252230
T00350,Losartan 250 mg (Domesco - Lot 564),Losartan 250 mg (Domesco - Lot 564),Chai,190610
T00351,Captopril 5 ml (Stada - Lot 790),Captopril 5 ml (Stada - Lot 790),Tuýp,302080
T00352,Cefuroxim 1000 IU (Stada - Lot 929),Cefuroxim 1000 IU (Stada - Lot 929),Viên nén,171650
T00353,Giảm Đau 250 mg (Domesco - Lot 419),Giam Dau 250 mg (Domesco - Lot 419),Viên nén,191300
T00354,Chống Viêm 10 mg (Stada - Lot 809),Chong Viem 10 mg (Stada - Lot 809),Viên nén,125290
T00355,Ibuprofen 10 mg (Mekophar - Lot 207),Ibuprofen 10 mg (Mekophar - Lot 207),Chai,156240
T00356,Amoxicillin 250 mg (Stada - Lot 675),Amoxicillin 250 mg (Stada - Lot 675),Viên nang,137130
T00357,Losartan 250 mg (Domesco - Lot 587),Losartan 250 mg (Domesco - Lot 587),Tuýp,484980
T00358,Cefuroxim 100 mg (Stada - Lot 953),Cefuroxim 100 mg (Stada - Lot 953),Gói,142290
T00359,Captopril 250 mg (Mekophar - Lot 678),Captopril 250 mg (Mekophar - Lot 678),Gói,301720
T00360,Doxycycline 1000 IU (Domesco - Lot 223),Doxycycline 1000 IU (Domesco - Lot 223),Hộp,277090
T00361,Omeprazole 5 mg (Viên nén - Lot 144),Omeprazole 5 mg (Vien nen - Lot 144),Viên nén,62100
T00362,Furosemide 1000 IU (Stada - Lot 685),Furosemide 1000 IU (Stada - Lot 685),Viên nén,289840
T00363,Diazepam 10 mg (Domesco - Lot 313),Diazepam 10 mg (Domesco - Lot 313),Tuýp,235110
T00364,Atorvastatin 250 mg (Stada - Lot 918),Atorvastatin 250 mg (Stada - Lot 918),Gói,291390
T00365,Paracetamol 250 mg (Viên nén - Lot 442),Paracetamol 250 mg (Vien nen - Lot 442),Hộp,234180
T00366,Fluconazole 100 mg (Domesco - Lot 899),Fluconazole 100 mg (Domesco - Lot 899),Gói,345900
T00367,Giảm Đau 10 mg (Mekophar - Lot 384),Giam Dau 10 mg (Mekophar - Lot 384),Gói,28630
T00368,Aspirin 100 mg (Stada - Lot 108),Aspirin 100 mg (Stada - Lot 108),Viên nén,474020
T00369,Amoxicillin 1000 IU (Domesco - Lot 164),Amoxicillin 1000 IU (Domesco - Lot 164),Ống tiêm,401710
T00370,Loratadine 100 mg (Mekophar - Lot 909),Loratadine 100 mg (Mekophar - Lot 909),Tuýp,128270
T00371,Fluconazole 10 mg (Mekophar - Lot 150),Fluconazole 10 mg (Mekophar - Lot 150),Tuýp,239720
T00372,Atorvastatin 1000 IU (Mekophar - Lot 221),Atorvastatin 1000 IU (Mekophar - Lot 221),Viên nén,377580
T00373,Furosemide 5 ml (Mekophar - Lot 104),Furosemide 5 ml (Mekophar - Lot 104),Hộp,499860
T00374,Hạ Sốt 1000 IU (Domesco - Lot 350),Ha Sot 1000 IU (Domesco - Lot 350),Gói,130480
T00375,Furosemide 500 mg (Mekophar - Lot 147),Furosemide 500 mg (Mekophar - Lot 147),Chai,386400
T00376,Atorvastatin 250 mg (Stada - Lot 476),Atorvastatin 250 mg (Stada - Lot 476),Ống tiêm,58510
T00377,Furosemide 5 ml (Mekophar - Lot 290),Furosemide 5 ml (Mekophar - Lot 290),Viên nang,111050
T00378,Pantoprazole 10 mg (Domesco - Lot 391),Pantoprazole 10 mg (Domesco - Lot 391),Gói,133120
T00379,Losartan 500 mg (Domesco - Lot 470),Losartan 500 mg (Domesco - Lot 470),Viên nén,123210
T00380,Pantoprazole 1000 IU (Viên nén - Lot 859),Pantoprazole 1000 IU (Vien nen - Lot 859),Ống tiêm,209550
T00381,Cefuroxim 1000 IU (Viên nén - Lot 200),Cefuroxim 1000 IU (Vien nen - Lot 200),Tuýp,488570
T00382,Losartan 500 mg (Viên nén - Lot 834),Losartan 500 mg (Vien nen - Lot 834),Gói,429350
T00383,Doxycycline 5 mg (Mekophar - Lot 796),Doxycycline 5 mg (Mekophar - Lot 796),Viên nén,207550
T00384,Paracetamol 250 mg (Stada - Lot 461),Paracetamol 250 mg (Stada - Lot 461),Viên nang,314260
T00385,Amoxicillin 5 mg (Viên nén - Lot 985),Amoxicillin 5 mg (Vien nen - Lot 985),Hộp,359730
T00386,Furosemide 5 ml (Stada - Lot 184),Furosemide 5 ml (Stada - Lot 184),Tuýp,195820
T00387,Diclofenac 10 mg (Stada - Lot 264),Diclofenac 10 mg (Stada - Lot 264),Gói,149130
T00388,Doxycycline 10 mg (Domesco - Lot 915),Doxycycline 10 mg (Domesco - Lot 915),Chai,201870
T00389,Giảm Đau 250 mg (Stada - Lot 382),Giam Dau 250 mg (Stada - Lot 382),Tuýp,83360
T00390,Chống Viêm 500 mg (Mekophar - Lot 787),Chong Viem 500 mg (Mekophar - Lot 787),Viên nang,280730
T00391,Furosemide 5 mg (Mekophar - Lot 447),Furosemide 5 mg (Mekophar - Lot 447),Ống tiêm,326590
T00392,Diazepam 1000 IU (Mekophar - Lot 817),Diazepam 1000 IU (Mekophar - Lot 817),Viên nén,190660
T00393,Ibuprofen 5 ml (Viên nén - Lot 170),Ibuprofen 5 ml (Vien nen - Lot 170),Chai,227090
T00394,Atorvastatin 250 mg (Mekophar - Lot 897),Atorvastatin 250 mg (Mekophar - Lot 897),Viên nang,486950
T00395,Chống Viêm 100 mg (Stada - Lot 572),Chong Viem 100 mg (Stada - Lot 572),Chai,467850
T00396,Omeprazole 5 ml (Mekophar - Lot 347),Omeprazole 5 ml (Mekophar - Lot 347),Gói,248160
T00397,Prednisolone 500 mg (Mekophar - Lot 154),Prednisolone 500 mg (Mekophar - Lot 154),Viên nang,339670
T00398,Fluconazole 500 mg (Viên nén - Lot 425),Fluconazole 500 mg (Vien nen - Lot 425),Gói,293650
T00399,Loratadine 250 mg (Domesco - Lot 955),Loratadine 250 mg (Domesco - Lot 955),Tuýp,132980
T00400,Pantoprazole 10 mg (Domesco - Lot 278),Pantoprazole 10 mg (Domesco - Lot 278),Hộp,76830
T00401,Vitamin C 100 mg (Viên nén - Lot 422),Vitamin C 100 mg (Vien nen - Lot 422),Chai,288030
T00402,Vitamin C 5 mg (Domesco - Lot 228),Vitamin C 5 mg (Domesco - Lot 228),Tuýp,141300
T00403,Cefuroxim 250 mg (Stada - Lot 188),Cefuroxim 250 mg (Stada - Lot 188),Hộp,498770
T00404,Atorvastatin 5 mg (Stada - Lot 569),Atorvastatin 5 mg (Stada - Lot 569),Hộp,85570
T00405,Paracetamol 250 mg (Mekophar - Lot 350),Paracetamol 250 mg (Mekophar - Lot 350),Viên nang,392720
T00406,Ibuprofen 500 mg (Domesco - Lot 510),Ibuprofen 500 mg (Domesco - Lot 510),Gói,195730
T00407,Captopril 500 mg (Domesco - Lot 625),Captopril 500 mg (Domesco - Lot 625),Tuýp,163010
T00408,Vitamin C 1000 IU (Stada - Lot 414),Vitamin C 1000 IU (Stada - Lot 414),Gói,383550
T00409,Amoxicillin 500 mg (Mekophar - Lot 506),Amoxicillin 500 mg (Mekophar - Lot 506),Chai,59660
T00410,Doxycycline 10 mg (Viên nén - Lot 382),Doxycycline 10 mg (Vien nen - Lot 382),Tuýp,50220
T00411,Prednisolone 5 mg (Mekophar - Lot 840),Prednisolone 5 mg (Mekophar - Lot 840),Viên nang,431800
T00412,Losartan 5 mg (Mekophar - Lot 158),Losartan 5 mg (Mekophar - Lot 158),Viên nén,68300
T00413,Cefuroxim 5 mg (Mekophar - Lot 680),Cefuroxim 5 mg (Mekophar - Lot 680),Gói,411120
T00414,Diazepam 1000 IU (Stada - Lot 140),Diazepam 1000 IU (Stada - Lot 140),Viên nén,216560
T00415,Hạ Sốt 500 mg (Domesco - Lot 766),Ha Sot 500 mg (Domesco - Lot 766),Hộp,421660
T00416,Levothyroxine 5 ml (Mekophar - Lot 858),Levothyroxine 5 ml (Mekophar - Lot 858),Chai,298640
T00417,Prednisolone 1000 IU (Viên nén - Lot 939),Prednisolone 1000 IU (Vien nen - Lot 939),Gói,254240
T00418,Doxycycline 10 mg (Stada - Lot 406),Doxycycline 10 mg (Stada - Lot 406),Gói,79580
T00419,Giảm Đau 1000 IU (Mekophar - Lot 387),Giam Dau 1000 IU (Mekophar - Lot 387),Ống tiêm,101910
T00420,Cefuroxim 250 mg (Domesco - Lot 474),Cefuroxim 250 mg (Domesco - Lot 474),Gói,266030
T00421,Omeprazole 500 mg (Viên nén - Lot 526),Omeprazole 500 mg (Vien nen - Lot 526),Viên nén,158730
T00422,Metformin 5 ml (Viên nén - Lot 984),Metformin 5 ml (Vien nen - Lot 984),Gói,357020
T00423,Doxycycline 250 mg (Viên nén - Lot 746),Doxycycline 250 mg (Vien nen - Lot 746),Viên nén,159610
T00424,Aspirin 1000 IU (Viên nén - Lot 718),Aspirin 1000 IU (Vien nen - Lot 718),Ống tiêm,417350
T00425,Losartan 100 mg (Stada - Lot 286),Losartan 100 mg (Stada - Lot 286),Chai,436280
T00426,Prednisolone 100 mg (Viên nén - Lot 805),Prednisolone 100 mg (Vien nen - Lot 805),Ống tiêm,489590
T00427,Furosemide 100 mg (Mekophar - Lot 798),Furosemide 100 mg (Mekophar - Lot 798),Gói,64440
T00428,Diclofenac 250 mg (Domesco - Lot 627),Diclofenac 250 mg (Domesco - Lot 627),Chai,385560
T00429,Paracetamol 10 mg (Viên nén - Lot 580),Paracetamol 10 mg (Vien nen - Lot 580),Hộp,260430
T00430,Captopril 250 mg (Viên nén - Lot 512),Captopril 250 mg (Vien nen - Lot 512),Hộp,287330
T00431,Cefuroxim 100 mg (Stada - Lot 761),Cefuroxim 100 mg (Stada - Lot 761),Tuýp,284990
T00432,Hạ Sốt 5 mg (Mekophar - Lot 844),Ha Sot 5 mg (Mekophar - Lot 844),Viên nén,173790
T00433,Ibuprofen 10 mg (Domesco - Lot 999),Ibuprofen 10 mg (Domesco - Lot 999),Viên nén,115390
T00434,Captopril 500 mg (Mekophar - Lot 246),Captopril 500 mg (Mekophar - Lot 246),Chai,427490
T00435,Vitamin C 10 mg (Domesco - Lot 258),Vitamin C 10 mg (Domesco - Lot 258),Chai,420540
T00436,Levothyroxine 5 ml (Viên nén - Lot 901),Levothyroxine 5 ml (Vien nen - Lot 901),Viên nén,424530
T00437,Loratadine 5 mg (Mekophar - Lot 901),Loratadine 5 mg (Mekophar - Lot 901),Viên nén,8160
T00438,Amoxicillin 500 mg (Domesco - Lot 466),Amoxicillin 500 mg (Domesco - Lot 466),Viên nang,70630
T00439,Prednisolone 500 mg (Stada - Lot 697),Prednisolone 500 mg (Stada - Lot 697),Viên nén,225780
T00440,Chống Viêm 1000 IU (Mekophar - Lot 622),Chong Viem 1000 IU (Mekophar - Lot 622),Ống tiêm,300670
T00441,Paracetamol 500 mg (Viên nén - Lot 360),Paracetamol 500 mg (Vien nen - Lot 360),Viên nang,348730
T00442,Cefuroxim 5 mg (Viên nén - Lot 697),Cefuroxim 5 mg (Vien nen - Lot 697),Chai,429980
T00443,Ibuprofen 10 mg (Mekophar - Lot 760),Ibuprofen 10 mg (Mekophar - Lot 760),Viên nén,110580
T00444,Amoxicillin 5 ml (Domesco - Lot 589),Amoxicillin 5 ml (Domesco - Lot 589),Gói,235290
T00445,Pantoprazole 1000 IU (Viên nén - Lot 965),Pantoprazole 1000 IU (Vien nen - Lot 965),Ống tiêm,487990
T00446,Doxycycline 5 mg (Stada - Lot 499),Doxycycline 5 mg (Stada - Lot 499),Ống tiêm,145940
T00447,Levothyroxine 5 mg (Mekophar - Lot 467),Levothyroxine 5 mg (Mekophar - Lot 467),Chai,356500
T00448,Losartan 5 mg (Domesco - Lot 929),Losartan 5 mg (Domesco - Lot 929),Viên nang,380200
T00449,Vitamin C 10 mg (Viên nén - Lot 221),Vitamin C 10 mg (Vien nen - Lot 221),Viên nang,378610
T00450,Captopril 250 mg (Stada - Lot 710),Captopril 250 mg (Stada - Lot 710),Gói,427210
T00451,Hạ Sốt 100 mg (Viên nén - Lot 155),Ha Sot 100 mg (Vien nen - Lot 155),Tuýp,325730
T00452,Amoxicillin 5 mg (Stada - Lot 705),Amoxicillin 5 mg (Stada - Lot 705),Gói,461420
T00453,Amoxicillin 5 mg (Viên nén - Lot 688),Amoxicillin 5 mg (Vien nen - Lot 688),Viên nén,214030
T00454,Diazepam 10 mg (Viên nén - Lot 420),Diazepam 10 mg (Vien nen - Lot 420),Viên nén,455130
T00455,Fluconazole 1000 IU (Mekophar - Lot 235),Fluconazole 1000 IU (Mekophar - Lot 235),Viên nén,171690
T00456,Vitamin C 100 mg (Stada - Lot 493),Vitamin C 100 mg (Stada - Lot 493),Viên nang,210290
T00457,Omeprazole 1000 IU (Stada - Lot 973),Omeprazole 1000 IU (Stada - Lot 973),Viên nén,31550
T00458,Vitamin C 5 mg (Stada - Lot 137),Vitamin C 5 mg (Stada - Lot 137),Gói,128670
T00459,Omeprazole 1000 IU (Stada - Lot 835),Omeprazole 1000 IU (Stada - Lot 835),Viên nang,152460
T00460,Cefuroxim 5 ml (Mekophar - Lot 266),Cefuroxim 5 ml (Mekophar - Lot 266),Gói,345640
T00461,Metformin 10 mg (Stada - Lot 216),Metformin 10 mg (Stada - Lot 216),Gói,144130
T00462,Diazepam 10 mg (Domesco - Lot 984),Diazepam 10 mg (Domesco - Lot 984),Gói,188900
T00463,Prednisolone 100 mg (Domesco - Lot 767),Prednisolone 100 mg (Domesco - Lot 767),Hộp,361230
